Site,Date,Block,Treatment,Time,Video,Frames,nspectra,nchannels,scene_height,scene_width,scene_channels,timestamp_s,timestamp_us,frame_rate,exposure,gain,scene_exposure,scene_gain,camera_serial_id,edge_compute_serial_id,sdk_version,calibration,scene_dtype,spectra_dtype,description
Wytham,1104/04/,A,NPK_DIST,74:33:35,Single,1,4384,96,2048,2432,3,1941,2378,2000000,20000,0,20000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,1104/07/,A,NPK_DIST,90:53:70,Video,26,4384,96,2048,2432,3,1944,502724,2000000,20000,0,20000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,1105/52/,A,NPK_DIST,68:23:06,Single,1,4384,96,2048,2432,3,2049,13063,2000000,40000,0,40000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,1105/54/,A,NPK_DIST,77:44:64,Video,31,4384,96,2048,2432,3,2051,513311,2000000,40000,0,40000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,1106/25/,A,NPK_DIST,66:22:42,Single,1,4384,96,2048,2432,3,2081,516283,2000000,60000,0,60000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,1106/27/,A,NPK_DIST,36:04:68,Video,38,4384,96,2048,2432,3,2084,16531,2000000,60000,0,60000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,1108/42/,A,NPK_DIST,76:69:99,Single,1,4384,96,2048,2432,3,2219,29928,2000000,10000,0,10000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,1108/45/,A,NPK_DIST,09:05:13,Video,26,4384,96,2048,2432,3,2221,530177,2000000,10000,0,10000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,1109/19/,A,NPK_DIST,78:59:24,Single,1,4384,96,2048,2432,3,2256,33602,2000000,20000,0,20000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,1109/22/,A,NPK_DIST,30:93:84,Video,25,4384,96,2048,2432,3,2259,33900,2000000,20000,0,20000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,1109/56/,A,NPK_DIST,89:53:44,Single,1,4384,96,2048,2432,3,2293,37275,2000000,30000,0,30000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,1109/58/,A,NPK_DIST,59:82:66,Video,25,4384,96,2048,2432,3,2295,37473,2000000,30000,0,30000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,1110/55/,A,NPK_DIST,09:46:82,Single,1,4384,96,2048,2432,3,2351,43033,2000000,5000,0,5000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,1110/58/,A,NPK_DIST,36:11:39,Video,28,4384,96,2048,2432,3,2355,43430,2000000,5000,0,5000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
