Site,Date,Block,Treatment,Time,Weather,Video,Frames,nspectra,nchannels,scene_height,scene_width,scene_channels,timestamp_s,timestamp_us,frame_rate,exposure,gain,scene_exposure,scene_gain,camera_serial_id,edge_compute_serial_id,sdk_version,calibration,scene_dtype,spectra_dtype,description
Wytham,2024/06/25,A,DIST,12:53:23,Sunny / warm - some cloud later in session,Single,1,4384,96,2048,2432,3,1767,358395,2000000,2000,0,2000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,2024/06/25,A,DIST,12:53:26,Sunny / warm - some cloud later in session,Video,22,4384,96,2048,2432,3,1770,858735,2000000,2000,0,2000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,2024/06/25,A,DIST,12:53:46,Sunny / warm - some cloud later in session,Single,1,4384,96,2048,2432,3,1790,860702,5000000,2000,0,2000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,2024/06/25,A,DIST,12:53:47,Sunny / warm - some cloud later in session,Single,1,4384,96,2048,2432,3,1791,860812,5000000,2000,0,2000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,2024/06/25,A,DIST,12:53:49,Sunny / warm - some cloud later in session,Video,56,4384,96,2048,2432,3,1793,661010,5000000,2000,0,2000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,2024/06/25,A,DIST,12:54:07,Sunny / warm - some cloud later in session,Single,1,4384,96,2048,2432,3,1812,112856,8000000,2000,0,2000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,2024/06/25,A,DIST,12:54:09,Sunny / warm - some cloud later in session,Video,125,4384,96,2048,2432,3,1813,362910,8000000,2000,0,2000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,2024/06/25,A,DIST,12:54:33,Sunny / warm - some cloud later in session,Single,1,4384,96,2048,2432,3,1837,964144,10000000,2000,0,2000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,2024/06/25,A,DIST,12:54:34,Sunny / warm - some cloud later in session,Video,126,4384,96,2048,2432,3,1839,264201,10000000,2000,0,2000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,2024/06/25,A,DIST,12:55:49,Sunny / warm - some cloud later in session,Single,1,4384,96,2048,2432,3,1913,667849,2000000,5000,0,5000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,2024/06/25,A,DIST,12:55:51,Sunny / warm - some cloud later in session,Video,26,4384,96,2048,2432,3,1915,668043,2000000,5000,0,5000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,2024/06/25,A,DIST,12:56:11,Sunny / warm - some cloud later in session,Single,1,4384,96,2048,2432,3,1936,170031,2000000,8000,0,8000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,2024/06/25,A,DIST,12:56:13,Sunny / warm - some cloud later in session,Video,39,4384,96,2048,2432,3,1937,670176,2000000,8000,0,8000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,2024/06/25,A,DIST,12:56:42,Sunny / warm - some cloud later in session,Single,1,4384,96,2048,2432,3,1966,672990,2000000,10000,0,10000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,2024/06/25,A,DIST,12:56:44,Sunny / warm - some cloud later in session,Video,36,4384,96,2048,2432,3,1969,173233,2000000,10000,0,10000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
